Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,54.20,157.86
2025-04-01 01:00:00,37.37,118.05
2025-04-01 02:00:00,50.07,122.76
2025-04-01 03:00:00,58.15,162.67
2025-04-01 04:00:00,89.85,191.81
2025-04-01 05:00:00,54.68,125.82
2025-04-01 06:00:00,75.20,149.54
2025-04-01 07:00:00,117.28,250.15
2025-04-01 08:00:00,86.71,250.27
2025-04-01 09:00:00,79.47,242.90
2025-04-01 10:00:00,105.56,239.74
2025-04-01 11:00:00,61.46,166.76
2025-04-01 12:00:00,36.87,149.52
2025-04-01 13:00:00,26.64,134.39
2025-04-01 14:00:00,27.89,116.81
2025-04-01 15:00:00,35.23,125.15
2025-04-01 16:00:00,29.15,108.83
2025-04-01 17:00:00,29.17,111.82
2025-04-01 18:00:00,35.78,121.58
2025-04-01 19:00:00,53.41,181.93
2025-04-01 20:00:00,69.45,223.21
2025-04-01 21:00:00,78.38,273.31
2025-04-01 22:00:00,79.68,258.57
2025-04-01 23:00:00,71.70,224.79
2025-04-02 00:00:00,82.08,213.35
2025-04-02 01:00:00,72.39,198.37
2025-04-02 02:00:00,76.09,186.42
2025-04-02 03:00:00,85.57,224.92
2025-04-02 04:00:00,81.86,211.37
2025-04-02 05:00:00,82.59,201.96
2025-04-02 06:00:00,129.41,280.07
2025-04-02 07:00:00,178.70,390.02
2025-04-02 08:00:00,293.07,570.69
2025-04-02 09:00:00,217.15,502.09
2025-04-02 10:00:00,83.97,257.16
2025-04-02 11:00:00,57.51,218.94
2025-04-02 12:00:00,55.85,190.28
2025-04-02 13:00:00,48.78,150.15
2025-04-02 14:00:00,39.49,129.54
2025-04-02 15:00:00,50.90,127.85
2025-04-02 16:00:00,28.91,94.32
2025-04-02 17:00:00,37.74,108.57
2025-04-02 18:00:00,38.88,125.60
2025-04-02 19:00:00,47.24,167.18
2025-04-02 20:00:00,60.88,231.21
2025-04-02 21:00:00,84.74,291.60
2025-04-02 22:00:00,96.38,325.02
2025-04-02 23:00:00,89.78,285.35
2025-04-03 00:00:00,97.25,254.23
2025-04-03 01:00:00,102.53,234.76
2025-04-03 02:00:00,100.29,226.01
2025-04-03 03:00:00,108.27,212.66
2025-04-03 04:00:00,92.87,186.86
2025-04-03 05:00:00,95.36,180.40
2025-04-03 06:00:00,90.14,203.53
2025-04-03 07:00:00,90.16,265.67
2025-04-03 08:00:00,93.83,301.81
2025-04-03 09:00:00,88.47,255.20
2025-04-03 10:00:00,88.02,220.24
2025-04-03 11:00:00,69.01,188.42
2025-04-03 12:00:00,33.97,89.88
