Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,61.82,77.82
2025-04-01 01:00:00,105.09,100.00
2025-04-01 02:00:00,683.21,95.76
2025-04-01 03:00:00,461.09,162.82
2025-04-01 04:00:00,50.53,171.45
2025-04-01 05:00:00,47.74,159.89
2025-04-01 06:00:00,81.76,240.88
2025-04-01 07:00:00,78.38,208.38
2025-04-01 08:00:00,59.45,157.50
2025-04-01 09:00:00,58.05,131.19
2025-04-01 10:00:00,78.27,141.70
2025-04-01 11:00:00,122.43,228.60
2025-04-01 12:00:00,123.67,294.10
2025-04-01 13:00:00,96.45,250.23
2025-04-01 14:00:00,69.10,165.75
2025-04-01 15:00:00,17.70,134.53
2025-04-01 16:00:00,12.32,175.60
2025-04-01 17:00:00,28.71,175.46
2025-04-01 18:00:00,6.61,138.52
2025-04-01 19:00:00,NA,138.96
2025-04-01 20:00:00,NA,146.12
2025-04-01 21:00:00,9.67,174.38
2025-04-01 22:00:00,17.77,211.52
2025-04-01 23:00:00,38.86,220.21
2025-04-02 00:00:00,57.13,208.36
2025-04-02 01:00:00,75.23,216.92
2025-04-02 02:00:00,74.63,216.90
2025-04-02 03:00:00,87.05,313.58
2025-04-02 04:00:00,91.82,262.43
2025-04-02 05:00:00,77.18,240.77
2025-04-02 06:00:00,121.78,339.95
2025-04-02 07:00:00,121.75,325.85
2025-04-02 08:00:00,169.70,432.17
2025-04-02 09:00:00,101.04,399.41
2025-04-02 10:00:00,96.43,257.81
2025-04-02 11:00:00,103.01,209.99
2025-04-02 12:00:00,112.98,275.21
2025-04-02 13:00:00,75.01,225.07
2025-04-02 14:00:00,53.42,140.87
2025-04-02 15:00:00,33.91,129.39
2025-04-02 16:00:00,33.90,107.63
2025-04-02 17:00:00,35.62,100.29
2025-04-02 18:00:00,33.93,102.96
2025-04-02 19:00:00,26.95,161.52
2025-04-02 20:00:00,18.96,165.11
2025-04-02 21:00:00,28.62,147.61
2025-04-02 22:00:00,32.06,130.60
2025-04-02 23:00:00,44.93,131.71
2025-04-03 00:00:00,NA,NA
2025-04-03 01:00:00,NA,NA
2025-04-03 02:00:00,NA,NA
2025-04-03 03:00:00,NA,NA
2025-04-03 04:00:00,NA,NA
2025-04-03 05:00:00,NA,NA
2025-04-03 06:00:00,NA,NA
2025-04-03 07:00:00,NA,NA
2025-04-03 08:00:00,NA,NA
2025-04-03 09:00:00,NA,NA
2025-04-03 10:00:00,NA,NA
2025-04-03 11:00:00,NA,NA
2025-04-03 12:00:00,NA,NA
2025-04-03 13:00:00,NA,NA
2025-04-03 14:00:00,NA,NA
2025-04-03 15:00:00,65.00,64.27
2025-04-03 16:00:00,18.06,33.09
2025-04-03 17:00:00,25.55,55.25
2025-04-03 18:00:00,46.96,86.26
2025-04-03 19:00:00,14.05,77.64
2025-04-03 20:00:00,33.77,102.74
2025-04-03 21:00:00,11.10,155.81
2025-04-03 22:00:00,17.05,134.71
2025-04-03 23:00:00,55.79,267.45
2025-04-04 00:00:00,118.87,223.76
2025-04-04 01:00:00,69.65,192.63
2025-04-04 02:00:00,103.88,172.67
2025-04-04 03:00:00,88.75,202.74
2025-04-04 04:00:00,93.98,238.96
2025-04-04 05:00:00,123.46,200.18
2025-04-04 06:00:00,89.34,234.85
2025-04-04 07:00:00,60.29,178.27
2025-04-04 08:00:00,129.14,245.88
2025-04-04 09:00:00,216.58,224.99
2025-04-04 10:00:00,267.80,221.93
2025-04-04 11:00:00,128.13,275.31
2025-04-04 12:00:00,84.62,200.00
2025-04-04 13:00:00,76.34,192.17
2025-04-04 14:00:00,74.78,173.95
2025-04-04 15:00:00,62.92,178.54
2025-04-04 16:00:00,64.71,207.59
2025-04-04 17:00:00,81.54,188.78
2025-04-04 18:00:00,42.88,146.97
2025-04-04 19:00:00,5.92,112.33
2025-04-04 20:00:00,10.10,126.20
2025-04-04 21:00:00,6.77,126.58
2025-04-04 22:00:00,7.84,194.25
2025-04-04 23:00:00,23.11,168.28
2025-04-05 00:00:00,27.56,161.53
2025-04-05 01:00:00,30.16,134.05
2025-04-05 02:00:00,33.94,120.90
2025-04-05 03:00:00,32.59,107.52
2025-04-05 04:00:00,51.53,142.31
2025-04-05 05:00:00,59.89,245.10
2025-04-05 06:00:00,56.69,233.47
2025-04-05 07:00:00,63.25,205.68
2025-04-05 08:00:00,52.01,172.47
2025-04-05 09:00:00,47.96,117.23
2025-04-05 10:00:00,58.80,132.26
2025-04-05 11:00:00,90.87,157.72
2025-04-05 12:00:00,69.79,255.32
2025-04-05 13:00:00,58.09,228.77
2025-04-05 14:00:00,49.18,201.82
2025-04-05 15:00:00,34.66,156.72
2025-04-05 16:00:00,44.84,130.40
2025-04-05 17:00:00,47.20,170.45
2025-04-05 18:00:00,48.98,160.10
2025-04-05 19:00:00,39.35,138.22
2025-04-05 20:00:00,34.62,134.01
2025-04-05 21:00:00,43.62,161.86
2025-04-05 22:00:00,64.92,208.73
2025-04-05 23:00:00,50.41,215.51
2025-04-06 00:00:00,53.77,206.85
2025-04-06 01:00:00,64.68,210.35
2025-04-06 02:00:00,70.10,197.10
2025-04-06 03:00:00,88.99,233.95
2025-04-06 04:00:00,123.69,346.45
2025-04-06 05:00:00,104.58,299.72
2025-04-06 06:00:00,82.39,368.02
2025-04-06 07:00:00,65.91,458.62
2025-04-06 08:00:00,78.92,286.23
2025-04-06 09:00:00,114.65,350.78
2025-04-06 10:00:00,104.27,245.14
2025-04-06 11:00:00,109.08,189.69
2025-04-06 12:00:00,85.22,236.11
2025-04-06 13:00:00,78.25,260.85
2025-04-06 14:00:00,58.13,200.09
2025-04-06 15:00:00,50.98,146.83
2025-04-06 16:00:00,37.45,110.32
2025-04-06 17:00:00,19.00,90.90
2025-04-06 18:00:00,41.14,193.28
2025-04-06 19:00:00,22.60,152.01
2025-04-06 20:00:00,36.61,159.86
2025-04-06 21:00:00,26.91,139.45
2025-04-06 22:00:00,42.70,169.44
2025-04-06 23:00:00,58.07,185.10
2025-04-07 00:00:00,69.48,268.06
2025-04-07 01:00:00,74.18,233.46
2025-04-07 02:00:00,76.35,229.64
2025-04-07 03:00:00,72.40,209.82
2025-04-07 04:00:00,84.29,237.11
2025-04-07 05:00:00,146.04,392.14
2025-04-07 06:00:00,121.17,346.19
2025-04-07 07:00:00,87.64,266.31
2025-04-07 08:00:00,114.32,270.52
2025-04-07 09:00:00,114.49,207.48
2025-04-07 10:00:00,111.92,299.81
2025-04-07 11:00:00,131.73,263.96
2025-04-07 12:00:00,195.20,261.76
2025-04-07 13:00:00,196.49,229.41
2025-04-07 14:00:00,164.05,153.42
2025-04-07 15:00:00,119.17,129.81
2025-04-07 16:00:00,29.04,91.39
2025-04-07 17:00:00,NA,56.62
2025-04-07 18:00:00,NA,124.31
2025-04-07 19:00:00,8.79,147.07
2025-04-07 20:00:00,15.84,173.50
2025-04-07 21:00:00,41.30,249.58
2025-04-07 22:00:00,78.00,302.47
2025-04-07 23:00:00,74.68,261.69
2025-04-08 00:00:00,66.16,224.76
2025-04-08 01:00:00,74.82,273.76
2025-04-08 02:00:00,69.28,238.24
2025-04-08 03:00:00,64.29,201.64
2025-04-08 04:00:00,54.34,194.11
2025-04-08 05:00:00,66.32,203.45
2025-04-08 06:00:00,57.37,253.64
2025-04-08 07:00:00,68.43,259.24
2025-04-08 08:00:00,79.91,262.54
2025-04-08 09:00:00,92.18,268.81
2025-04-08 10:00:00,106.71,425.25
2025-04-08 11:00:00,100.96,331.01
2025-04-08 12:00:00,90.91,284.51
2025-04-08 13:00:00,73.73,348.43
2025-04-08 14:00:00,59.41,296.37
2025-04-08 15:00:00,56.78,241.19
2025-04-08 16:00:00,55.91,314.66
2025-04-08 17:00:00,59.51,293.83
2025-04-08 18:00:00,51.52,233.54
2025-04-08 19:00:00,63.12,260.20
2025-04-08 20:00:00,73.50,322.81
2025-04-08 21:00:00,76.98,284.84
2025-04-08 22:00:00,71.31,247.62
2025-04-08 23:00:00,69.90,300.83
2025-04-09 00:00:00,81.13,278.46
2025-04-09 01:00:00,64.51,236.93
2025-04-09 02:00:00,57.95,195.97
2025-04-09 03:00:00,59.51,212.63
2025-04-09 04:00:00,58.84,248.11
2025-04-09 05:00:00,68.95,238.21
2025-04-09 06:00:00,66.39,265.45
2025-04-09 07:00:00,74.40,268.02
2025-04-09 08:00:00,115.75,255.44
2025-04-09 09:00:00,109.99,241.37
2025-04-09 10:00:00,116.75,400.10
2025-04-09 11:00:00,112.75,334.96
2025-04-09 12:00:00,99.26,272.40
2025-04-09 13:00:00,98.26,362.49
2025-04-09 14:00:00,92.03,319.78
2025-04-09 15:00:00,82.36,234.54
2025-04-09 16:00:00,73.29,253.05
