Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,46.90,72.18
2025-04-01 01:00:00,39.98,61.48
2025-04-01 02:00:00,32.82,50.45
2025-04-01 03:00:00,39.70,61.00
2025-04-01 04:00:00,39.22,60.28
2025-04-01 05:00:00,52.40,80.60
2025-04-01 06:00:00,53.10,81.68
2025-04-01 07:00:00,88.98,136.85
2025-04-01 08:00:00,220.92,339.90
2025-04-01 09:00:00,150.80,232.02
2025-04-01 10:00:00,113.52,174.65
2025-04-01 11:00:00,82.92,127.60
2025-04-01 12:00:00,55.20,84.90
2025-04-01 13:00:00,52.38,80.57
2025-04-01 14:00:00,46.80,71.97
2025-04-01 15:00:00,43.12,66.40
2025-04-01 16:00:00,45.18,69.42
2025-04-01 17:00:00,72.93,112.22
2025-04-01 18:00:00,80.42,123.78
2025-04-01 19:00:00,123.32,189.72
2025-04-01 20:00:00,127.57,196.23
2025-04-01 21:00:00,114.75,176.58
2025-04-01 22:00:00,128.75,198.02
2025-04-01 23:00:00,114.00,175.40
2025-04-02 00:00:00,127.18,195.68
2025-04-02 01:00:00,124.05,190.82
2025-04-02 02:00:00,109.83,168.98
2025-04-02 03:00:00,83.43,128.43
2025-04-02 04:00:00,92.62,142.40
2025-04-02 05:00:00,137.52,211.62
2025-04-02 06:00:00,145.02,223.10
2025-04-02 07:00:00,193.25,297.33
2025-04-02 08:00:00,313.38,482.10
2025-04-02 09:00:00,197.02,303.10
2025-04-02 10:00:00,243.90,375.20
2025-04-02 11:00:00,106.30,163.55
2025-04-02 12:00:00,73.53,113.10
2025-04-02 13:00:00,118.05,181.60
2025-04-02 14:00:00,68.45,105.28
2025-04-02 15:00:00,84.65,130.25
2025-04-02 16:00:00,71.73,110.28
2025-04-02 17:00:00,84.02,129.25
2025-04-02 18:00:00,164.85,253.62
2025-04-02 19:00:00,287.53,442.30
2025-04-02 20:00:00,445.67,685.60
2025-04-02 21:00:00,256.82,395.10
2025-04-02 22:00:00,233.95,360.02
2025-04-02 23:00:00,215.70,331.80
2025-04-03 00:00:00,209.23,321.92
2025-04-03 01:00:00,143.20,220.38
2025-04-03 02:00:00,137.07,210.85
2025-04-03 03:00:00,128.23,197.28
2025-04-03 04:00:00,96.50,148.55
2025-04-03 05:00:00,130.07,200.15
2025-04-03 06:00:00,119.58,184.00
2025-04-03 07:00:00,144.70,222.70
2025-04-03 08:00:00,215.45,331.48
2025-04-03 09:00:00,166.60,256.30
2025-04-03 10:00:00,NA,NA
2025-04-03 11:00:00,NA,NA
2025-04-03 12:00:00,88.90,136.80
2025-04-03 13:00:00,61.93,95.30
2025-04-03 14:00:00,95.95,147.55
2025-04-03 15:00:00,80.80,124.20
2025-04-03 16:00:00,80.78,124.22
2025-04-03 17:00:00,85.95,149.95
2025-04-03 18:00:00,140.70,NA
2025-04-03 19:00:00,176.55,742.12
2025-04-03 20:00:00,236.18,818.77
2025-04-03 21:00:00,NA,625.40
2025-04-03 22:00:00,15.50,313.73
2025-04-03 23:00:00,111.53,357.30
2025-04-04 00:00:00,116.68,386.65
2025-04-04 01:00:00,119.02,326.45
2025-04-04 02:00:00,136.40,278.15
2025-04-04 03:00:00,140.57,288.62
2025-04-04 04:00:00,145.90,223.52
2025-04-04 05:00:00,NA,265.75
2025-04-04 06:00:00,NA,312.40
2025-04-04 07:00:00,217.70,349.87
2025-04-04 08:00:00,425.72,700.25
2025-04-04 09:00:00,498.60,821.60
2025-04-04 10:00:00,219.52,356.50
2025-04-04 11:00:00,155.33,249.50
2025-04-04 12:00:00,132.90,212.15
2025-04-04 13:00:00,103.02,162.38
2025-04-04 14:00:00,141.07,225.78
2025-04-04 15:00:00,136.15,217.60
2025-04-04 16:00:00,126.52,201.50
2025-04-04 17:00:00,105.12,165.82
2025-04-04 18:00:00,152.22,244.32
2025-04-04 19:00:00,198.22,321.08
2025-04-04 20:00:00,217.90,353.78
2025-04-04 21:00:00,167.35,269.58
2025-04-04 22:00:00,129.07,205.82
2025-04-04 23:00:00,105.70,166.90
2025-04-05 00:00:00,85.52,133.25
2025-04-05 01:00:00,96.35,151.32
2025-04-05 02:00:00,39.95,57.28
2025-04-05 03:00:00,53.10,79.20
2025-04-05 04:00:00,51.73,76.88
2025-04-05 05:00:00,63.90,97.10
2025-04-05 06:00:00,62.75,95.37
2025-04-05 07:00:00,118.35,187.95
2025-04-05 08:00:00,172.02,277.30
2025-04-05 09:00:00,160.38,257.98
2025-04-05 10:00:00,150.05,240.73
2025-04-05 11:00:00,130.45,208.10
2025-04-05 12:00:00,118.98,188.88
2025-04-05 13:00:00,110.83,175.38
2025-04-05 14:00:00,87.68,136.75
2025-04-05 15:00:00,77.00,119.07
2025-04-05 16:00:00,72.50,111.45
2025-04-05 17:00:00,79.10,122.48
2025-04-05 18:00:00,117.02,185.70
2025-04-05 19:00:00,162.28,261.05
2025-04-05 20:00:00,122.95,195.50
2025-04-05 21:00:00,142.28,227.85
2025-04-05 22:00:00,132.80,211.98
2025-04-05 23:00:00,130.10,207.50
2025-04-06 00:00:00,139.25,222.82
2025-04-06 01:00:00,130.45,208.12
2025-04-06 02:00:00,113.10,179.18
2025-04-06 03:00:00,151.48,243.08
2025-04-06 04:00:00,147.22,236.12
2025-04-06 05:00:00,153.52,246.60
2025-04-06 06:00:00,155.00,248.90
2025-04-06 07:00:00,154.48,248.15
2025-04-06 08:00:00,185.73,300.20
2025-04-06 09:00:00,163.00,262.30
2025-04-06 10:00:00,159.55,256.60
2025-04-06 11:00:00,138.95,222.15
2025-04-06 12:00:00,124.40,197.98
2025-04-06 13:00:00,118.33,187.88
2025-04-06 14:00:00,106.95,168.90
2025-04-06 15:00:00,87.55,136.65
2025-04-06 16:00:00,93.72,146.85
2025-04-06 17:00:00,101.67,160.18
