Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,NA,NA
2025-04-01 01:00:00,NA,NA
2025-04-01 02:00:00,NA,NA
2025-04-01 03:00:00,NA,NA
2025-04-01 04:00:00,NA,NA
2025-04-01 05:00:00,78.70,NA
2025-04-01 06:00:00,121.02,NA
2025-04-01 07:00:00,89.33,146.30
2025-04-01 08:00:00,64.25,157.75
2025-04-01 09:00:00,77.75,169.62
2025-04-01 10:00:00,91.72,179.78
2025-04-01 11:00:00,62.10,171.08
2025-04-01 12:00:00,58.70,156.88
2025-04-01 13:00:00,57.68,148.67
2025-04-01 14:00:00,52.88,141.00
2025-04-01 15:00:00,47.68,137.10
2025-04-01 16:00:00,40.95,131.65
2025-04-01 17:00:00,58.27,116.50
2025-04-01 18:00:00,49.75,111.45
2025-04-01 19:00:00,69.53,157.60
2025-04-01 20:00:00,82.62,214.82
2025-04-01 21:00:00,129.25,463.12
2025-04-01 22:00:00,150.70,439.60
2025-04-01 23:00:00,118.50,304.00
2025-04-02 00:00:00,94.52,279.17
2025-04-02 01:00:00,102.05,218.00
2025-04-02 02:00:00,80.80,191.60
2025-04-02 03:00:00,87.00,258.55
2025-04-02 04:00:00,84.78,239.80
2025-04-02 05:00:00,76.25,243.70
2025-04-02 06:00:00,97.55,190.20
2025-04-02 07:00:00,84.90,202.10
2025-04-02 08:00:00,86.08,279.80
2025-04-02 09:00:00,113.10,311.60
2025-04-02 10:00:00,105.65,280.10
2025-04-02 11:00:00,93.48,208.88
2025-04-02 12:00:00,78.38,197.65
2025-04-02 13:00:00,70.45,143.75
2025-04-02 14:00:00,54.50,126.40
2025-04-02 15:00:00,53.45,123.35
2025-04-02 16:00:00,41.35,106.30
2025-04-02 17:00:00,55.50,108.88
2025-04-02 18:00:00,59.97,95.37
2025-04-02 19:00:00,87.78,193.40
2025-04-02 20:00:00,109.60,261.25
2025-04-02 21:00:00,114.10,274.02
2025-04-02 22:00:00,146.18,284.58
2025-04-02 23:00:00,101.30,278.30
2025-04-03 00:00:00,121.72,255.88
2025-04-03 01:00:00,101.98,246.62
2025-04-03 02:00:00,92.60,219.98
2025-04-03 03:00:00,93.65,205.88
2025-04-03 04:00:00,78.60,195.55
2025-04-03 05:00:00,82.35,174.05
2025-04-03 06:00:00,61.70,191.68
