Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,51.25,95.00
2025-04-01 01:00:00,45.50,92.50
2025-04-01 02:00:00,48.75,106.50
2025-04-01 03:00:00,65.25,111.50
2025-04-01 04:00:00,70.25,106.50
2025-04-01 05:00:00,56.75,96.50
2025-04-01 06:00:00,82.00,132.50
2025-04-01 07:00:00,143.00,209.75
2025-04-01 08:00:00,183.00,270.75
2025-04-01 09:00:00,159.00,258.50
2025-04-01 10:00:00,110.75,194.25
2025-04-01 11:00:00,76.00,148.50
2025-04-01 12:00:00,37.25,96.50
2025-04-01 13:00:00,28.50,83.75
2025-04-01 14:00:00,25.00,73.25
2025-04-01 15:00:00,28.50,78.25
2025-04-01 16:00:00,25.50,75.75
2025-04-01 17:00:00,26.00,74.00
2025-04-01 18:00:00,30.25,83.50
2025-04-01 19:00:00,37.00,100.25
2025-04-01 20:00:00,51.00,128.00
2025-04-01 21:00:00,62.75,142.00
2025-04-01 22:00:00,62.50,132.50
2025-04-01 23:00:00,65.00,136.00
2025-04-02 00:00:00,71.75,157.00
2025-04-02 01:00:00,73.50,161.75
2025-04-02 02:00:00,76.75,170.75
2025-04-02 03:00:00,83.75,194.25
2025-04-02 04:00:00,84.75,192.50
2025-04-02 05:00:00,111.75,201.00
2025-04-02 06:00:00,179.75,267.75
2025-04-02 07:00:00,249.50,351.00
2025-04-02 08:00:00,257.75,376.75
2025-04-02 09:00:00,208.25,343.50
2025-04-02 10:00:00,123.75,227.50
2025-04-02 11:00:00,84.50,183.75
2025-04-02 12:00:00,70.75,152.25
2025-04-02 13:00:00,48.50,107.00
2025-04-02 14:00:00,37.25,85.00
2025-04-02 15:00:00,35.00,80.25
2025-04-02 16:00:00,29.75,71.50
2025-04-02 17:00:00,27.50,70.75
2025-04-02 18:00:00,30.25,77.50
2025-04-02 19:00:00,38.50,106.00
2025-04-02 20:00:00,63.00,169.25
2025-04-02 21:00:00,112.00,237.00
2025-04-02 22:00:00,109.25,234.75
2025-04-02 23:00:00,119.00,258.00
2025-04-03 00:00:00,137.50,268.00
2025-04-03 01:00:00,118.75,207.25
2025-04-03 02:00:00,124.00,212.50
2025-04-03 03:00:00,110.00,199.25
2025-04-03 04:00:00,99.00,192.00
2025-04-03 05:00:00,109.00,220.75
2025-04-03 06:00:00,107.50,201.00
2025-04-03 07:00:00,97.25,192.75
2025-04-03 08:00:00,104.25,212.25
2025-04-03 09:00:00,105.00,215.00
2025-04-03 10:00:00,109.75,223.00
2025-04-03 11:00:00,66.75,185.75
2025-04-03 12:00:00,35.75,88.75
2025-04-03 13:00:00,33.00,74.25
2025-04-03 14:00:00,25.00,57.00
2025-04-03 15:00:00,22.00,49.50
2025-04-03 16:00:00,21.50,47.25
2025-04-03 17:00:00,24.00,58.00
2025-04-03 18:00:00,28.75,78.75
2025-04-03 19:00:00,46.00,121.75
2025-04-03 20:00:00,69.50,174.50
2025-04-03 21:00:00,73.75,200.50
2025-04-03 22:00:00,52.00,176.50
2025-04-03 23:00:00,61.00,192.00
2025-04-04 00:00:00,76.75,230.50
2025-04-04 01:00:00,74.25,216.25
2025-04-04 02:00:00,85.50,219.00
2025-04-04 03:00:00,113.25,230.50
2025-04-04 04:00:00,110.00,211.75
2025-04-04 05:00:00,104.50,203.25
2025-04-04 06:00:00,106.50,215.25
2025-04-04 07:00:00,116.75,254.75
2025-04-04 08:00:00,142.75,366.25
2025-04-04 09:00:00,127.25,288.00
2025-04-04 10:00:00,85.50,185.50
2025-04-04 11:00:00,NA,NA
2025-04-04 12:00:00,NA,NA
2025-04-04 13:00:00,NA,NA
2025-04-04 14:00:00,NA,NA
2025-04-04 15:00:00,NA,NA
2025-04-04 16:00:00,NA,NA
2025-04-04 17:00:00,NA,NA
2025-04-04 18:00:00,10.67,33.67
2025-04-04 19:00:00,34.50,103.25
2025-04-04 20:00:00,55.25,142.00
2025-04-04 21:00:00,53.75,135.25
2025-04-04 22:00:00,50.75,123.50
2025-04-04 23:00:00,50.33,112.00
2025-04-05 00:00:00,47.50,66.00
2025-04-05 01:00:00,NA,1.00
2025-04-05 02:00:00,NA,3.50
2025-04-05 03:00:00,NA,NA
2025-04-05 04:00:00,NA,1.00
2025-04-05 05:00:00,NA,1.00
2025-04-05 06:00:00,NA,1.25
2025-04-05 07:00:00,NA,1.50
2025-04-05 08:00:00,NA,1.00
2025-04-05 09:00:00,131.00,440.67
2025-04-05 10:00:00,140.25,362.50
2025-04-05 11:00:00,87.50,166.75
2025-04-05 12:00:00,62.75,130.50
2025-04-05 13:00:00,47.50,109.50
2025-04-05 14:00:00,35.25,92.50
2025-04-05 15:00:00,33.75,88.25
2025-04-05 16:00:00,30.00,78.50
2025-04-05 17:00:00,29.50,81.00
2025-04-05 18:00:00,30.75,79.00
2025-04-05 19:00:00,38.25,101.25
2025-04-05 20:00:00,55.50,135.75
2025-04-05 21:00:00,61.00,140.75
2025-04-05 22:00:00,61.50,132.25
2025-04-05 23:00:00,73.00,150.67
2025-04-06 00:00:00,93.75,181.75
2025-04-06 01:00:00,80.50,165.00
2025-04-06 02:00:00,81.25,158.25
2025-04-06 03:00:00,79.75,150.25
2025-04-06 04:00:00,123.50,189.00
2025-04-06 05:00:00,172.75,245.75
2025-04-06 06:00:00,140.75,208.00
2025-04-06 07:00:00,112.00,179.00
2025-04-06 08:00:00,98.25,163.75
2025-04-06 09:00:00,83.75,146.25
2025-04-06 10:00:00,84.50,151.75
2025-04-06 11:00:00,67.25,125.00
2025-04-06 12:00:00,53.75,107.75
2025-04-06 13:00:00,58.25,112.50
2025-04-06 14:00:00,45.50,85.75
2025-04-06 15:00:00,40.75,80.00
2025-04-06 16:00:00,37.00,76.25
2025-04-06 17:00:00,32.25,67.00
2025-04-06 18:00:00,37.75,79.50
2025-04-06 19:00:00,57.25,114.75
2025-04-06 20:00:00,103.25,189.25
2025-04-06 21:00:00,123.75,231.00
2025-04-06 22:00:00,134.50,261.75
2025-04-06 23:00:00,125.00,269.00
2025-04-07 00:00:00,107.00,235.25
2025-04-07 01:00:00,106.50,228.50
2025-04-07 02:00:00,109.25,239.25
2025-04-07 03:00:00,115.25,250.25
2025-04-07 04:00:00,128.00,277.50
2025-04-07 05:00:00,145.25,314.75
2025-04-07 06:00:00,168.25,308.75
2025-04-07 07:00:00,223.75,380.25
2025-04-07 08:00:00,237.25,363.25
2025-04-07 09:00:00,165.00,262.25
2025-04-07 10:00:00,112.75,194.25
2025-04-07 11:00:00,76.25,149.00
2025-04-07 12:00:00,48.25,92.75
2025-04-07 13:00:00,47.25,91.50
2025-04-07 14:00:00,49.25,97.75
2025-04-07 15:00:00,48.00,95.25
2025-04-07 16:00:00,48.50,96.75
2025-04-07 17:00:00,42.50,87.00
2025-04-07 18:00:00,46.25,105.00
2025-04-07 19:00:00,62.50,150.75
2025-04-07 20:00:00,74.75,179.50
2025-04-07 21:00:00,97.25,219.75
2025-04-07 22:00:00,131.00,269.75
2025-04-07 23:00:00,141.00,262.67
2025-04-08 00:00:00,141.00,267.75
2025-04-08 01:00:00,134.75,248.75
2025-04-08 02:00:00,114.00,214.00
2025-04-08 03:00:00,100.00,193.00
2025-04-08 04:00:00,105.50,189.25
2025-04-08 05:00:00,110.75,200.50
2025-04-08 06:00:00,94.00,174.25
2025-04-08 07:00:00,100.50,204.00
2025-04-08 08:00:00,108.50,225.00
2025-04-08 09:00:00,93.00,203.25
2025-04-08 10:00:00,88.25,197.25
2025-04-08 11:00:00,87.75,192.25
2025-04-08 12:00:00,81.00,189.50
2025-04-08 13:00:00,77.50,185.50
2025-04-08 14:00:00,72.00,170.00
2025-04-08 15:00:00,64.25,151.25
2025-04-08 16:00:00,63.50,146.25
