Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,26.41,138.00
2025-04-01 01:00:00,22.76,131.00
2025-04-01 02:00:00,24.33,119.15
2025-04-01 03:00:00,28.08,113.00
2025-04-01 04:00:00,21.40,130.00
2025-04-01 05:00:00,31.50,172.00
2025-04-01 06:00:00,52.18,206.00
2025-04-01 07:00:00,75.93,347.00
2025-04-01 08:00:00,65.21,348.00
2025-04-01 09:00:00,53.00,303.56
2025-04-01 10:00:00,48.68,272.00
2025-04-01 11:00:00,29.54,138.00
2025-04-01 12:00:00,22.87,125.00
2025-04-01 13:00:00,21.06,114.22
2025-04-01 14:00:00,22.00,108.30
2025-04-01 15:00:00,21.79,103.00
2025-04-01 16:00:00,22.34,104.36
2025-04-01 17:00:00,21.59,101.00
2025-04-01 18:00:00,20.79,106.00
2025-04-01 19:00:00,31.69,138.88
2025-04-01 20:00:00,39.38,179.00
2025-04-01 21:00:00,31.13,169.00
2025-04-01 22:00:00,33.34,211.85
2025-04-01 23:00:00,44.78,224.00
2025-04-02 00:00:00,48.82,207.00
2025-04-02 01:00:00,29.59,182.26
2025-04-02 02:00:00,38.90,212.83
2025-04-02 03:00:00,51.99,213.82
2025-04-02 04:00:00,66.33,278.90
2025-04-02 05:00:00,71.00,429.00
2025-04-02 06:00:00,NA,NA
2025-04-02 07:00:00,NA,NA
2025-04-02 08:00:00,NA,NA
2025-04-02 09:00:00,75.00,620.00
2025-04-02 10:00:00,73.09,335.30
2025-04-02 11:00:00,45.65,195.00
2025-04-02 12:00:00,39.79,164.39
2025-04-02 13:00:00,31.59,138.34
2025-04-02 14:00:00,31.76,134.05
2025-04-02 15:00:00,28.76,105.00
2025-04-02 16:00:00,25.75,115.86
2025-04-02 17:00:00,27.47,109.00
2025-04-02 18:00:00,33.71,126.78
2025-04-02 19:00:00,43.34,155.00
2025-04-02 20:00:00,59.55,346.00
2025-04-02 21:00:00,65.37,367.72
2025-04-02 22:00:00,56.92,244.00
2025-04-02 23:00:00,52.41,220.32
2025-04-03 00:00:00,44.12,239.43
2025-04-03 01:00:00,61.94,310.00
2025-04-03 02:00:00,60.47,269.04
2025-04-03 03:00:00,64.54,267.07
2025-04-03 04:00:00,57.32,274.00
2025-04-03 05:00:00,58.63,257.21
2025-04-03 06:00:00,65.00,229.00
2025-04-03 07:00:00,65.42,252.28
2025-04-03 08:00:00,70.29,378.50
2025-04-03 09:00:00,88.50,420.00
2025-04-03 10:00:00,96.05,454.43
2025-04-03 11:00:00,62.38,322.00
2025-04-03 12:00:00,64.49,310.46
2025-04-03 13:00:00,41.14,200.02
2025-04-03 14:00:00,31.67,148.43
2025-04-03 15:00:00,26.13,116.00
2025-04-03 16:00:00,18.87,93.00
2025-04-03 17:00:00,17.29,74.00
2025-04-03 18:00:00,29.74,174.00
2025-04-03 19:00:00,52.51,228.61
2025-04-03 20:00:00,52.32,251.29
2025-04-03 21:00:00,NA,306.52
2025-04-03 22:00:00,NA,347.05
2025-04-03 23:00:00,0.05,292.00
2025-04-04 00:00:00,0.05,264.11
2025-04-04 01:00:00,0.05,242.00
2025-04-04 02:00:00,NA,277.92
2025-04-04 03:00:00,NA,242.45
2025-04-04 04:00:00,NA,198.04
2025-04-04 05:00:00,0.05,238.00
2025-04-04 06:00:00,NA,218.00
2025-04-04 07:00:00,NA,276.00
2025-04-04 08:00:00,NA,367.00
2025-04-04 09:00:00,NA,513.83
2025-04-04 10:00:00,0.05,305.53
2025-04-04 11:00:00,NA,399.63
2025-04-04 12:00:00,3.19,173.00
2025-04-04 13:00:00,24.58,127.00
2025-04-04 14:00:00,35.64,151.00
2025-04-04 15:00:00,30.69,133.00
2025-04-04 16:00:00,109.38,126.00
2025-04-04 17:00:00,33.80,132.00
2025-04-04 18:00:00,30.93,117.00
2025-04-04 19:00:00,30.54,144.00
2025-04-04 20:00:00,44.16,206.92
2025-04-04 21:00:00,53.68,221.00
2025-04-04 22:00:00,35.87,192.00
2025-04-04 23:00:00,34.29,160.57
2025-04-05 00:00:00,49.86,161.00
2025-04-05 01:00:00,38.96,129.00
2025-04-05 02:00:00,18.86,138.88
2025-04-05 03:00:00,32.38,128.00
2025-04-05 04:00:00,49.99,207.91
2025-04-05 05:00:00,29.41,165.00
2025-04-05 06:00:00,34.45,181.00
2025-04-05 07:00:00,56.30,287.78
2025-04-05 08:00:00,95.55,401.00
2025-04-05 09:00:00,73.55,415.00
2025-04-05 10:00:00,51.40,272.00
2025-04-05 11:00:00,38.44,147.00
2025-04-05 12:00:00,39.58,125.00
2025-04-05 13:00:00,55.21,332.00
2025-04-05 14:00:00,26.94,147.00
2025-04-05 15:00:00,25.94,153.00
2025-04-05 16:00:00,25.00,124.00
2025-04-05 17:00:00,1.37,113.17
2025-04-05 18:00:00,23.65,96.40
2025-04-05 19:00:00,18.90,145.00
2025-04-05 20:00:00,32.17,193.00
2025-04-05 21:00:00,44.70,241.49
2025-04-05 22:00:00,47.92,248.00
2025-04-05 23:00:00,40.54,250.34
2025-04-06 00:00:00,49.37,221.00
2025-04-06 01:00:00,57.80,204.95
2025-04-06 02:00:00,44.37,203.00
2025-04-06 03:00:00,50.82,248.40
2025-04-06 04:00:00,92.72,415.00
2025-04-06 05:00:00,112.11,442.00
2025-04-06 06:00:00,113.02,475.52
2025-04-06 07:00:00,103.25,548.00
2025-04-06 08:00:00,124.82,580.93
2025-04-06 09:00:00,91.74,397.51
2025-04-06 10:00:00,73.47,405.41
2025-04-06 11:00:00,61.30,270.12
2025-04-06 12:00:00,49.66,199.00
2025-04-06 13:00:00,32.45,112.12
2025-04-06 14:00:00,17.38,99.00
2025-04-06 15:00:00,24.79,87.51
2025-04-06 16:00:00,27.92,83.00
2025-04-06 17:00:00,27.03,91.00
2025-04-06 18:00:00,21.86,105.00
2025-04-06 19:00:00,31.36,135.82
2025-04-06 20:00:00,48.58,200.02
2025-04-06 21:00:00,41.66,240.00
2025-04-06 22:00:00,45.26,267.00
2025-04-06 23:00:00,63.58,257.25
2025-04-07 00:00:00,79.53,372.00
2025-04-07 01:00:00,60.75,363.83
2025-04-07 02:00:00,71.91,388.00
2025-04-07 03:00:00,105.36,491.00
2025-04-07 04:00:00,109.50,472.00
2025-04-07 05:00:00,86.40,434.00
2025-04-07 06:00:00,90.68,503.96
2025-04-07 07:00:00,99.52,429.11
2025-04-07 08:00:00,99.05,413.00
2025-04-07 09:00:00,71.74,341.13
2025-04-07 10:00:00,57.39,258.00
2025-04-07 11:00:00,63.82,281.00
2025-04-07 12:00:00,70.82,277.97
2025-04-07 13:00:00,68.08,349.00
2025-04-07 14:00:00,42.68,158.00
2025-04-07 15:00:00,42.00,174.36
2025-04-07 16:00:00,52.03,160.00
2025-04-07 17:00:00,45.22,163.00
2025-04-07 18:00:00,33.30,155.60
2025-04-07 19:00:00,52.44,225.65
2025-04-07 20:00:00,61.74,243.00
2025-04-07 21:00:00,87.28,356.00
2025-04-07 22:00:00,80.22,369.32
2025-04-07 23:00:00,79.03,378.00
2025-04-08 00:00:00,96.50,406.26
2025-04-08 01:00:00,92.91,392.58
2025-04-08 02:00:00,59.15,305.00
