Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,44.00,123.00
2025-04-01 01:00:00,44.00,108.00
2025-04-01 02:00:00,50.00,106.00
2025-04-01 03:00:00,48.00,118.00
2025-04-01 04:00:00,59.00,NA
2025-04-01 05:00:00,77.00,NA
2025-04-01 06:00:00,114.00,NA
2025-04-01 07:00:00,160.00,NA
2025-04-01 08:00:00,168.00,NA
2025-04-01 09:00:00,127.00,NA
2025-04-01 10:00:00,118.00,NA
2025-04-01 11:00:00,95.00,NA
2025-04-01 12:00:00,67.00,259.00
2025-04-01 13:00:00,27.00,135.00
2025-04-01 14:00:00,39.00,134.00
2025-04-01 15:00:00,27.00,122.00
2025-04-01 16:00:00,29.00,111.00
2025-04-01 17:00:00,25.00,123.00
2025-04-01 18:00:00,27.00,143.00
2025-04-01 19:00:00,45.00,153.00
2025-04-01 20:00:00,58.00,194.00
2025-04-01 21:00:00,106.00,284.00
2025-04-01 22:00:00,169.00,400.00
2025-04-01 23:00:00,155.00,335.00
2025-04-02 00:00:00,134.00,291.00
2025-04-02 01:00:00,130.00,243.00
2025-04-02 02:00:00,140.00,245.00
2025-04-02 03:00:00,132.00,221.00
2025-04-02 04:00:00,114.00,NA
2025-04-02 05:00:00,135.00,279.00
2025-04-02 06:00:00,156.00,289.00
2025-04-02 07:00:00,218.00,498.00
2025-04-02 08:00:00,280.00,580.00
2025-04-02 09:00:00,199.00,432.00
2025-04-02 10:00:00,94.00,260.00
2025-04-02 11:00:00,102.00,272.00
2025-04-02 12:00:00,81.00,239.00
2025-04-02 13:00:00,52.00,208.00
2025-04-02 14:00:00,36.00,114.00
2025-04-02 15:00:00,36.00,119.00
2025-04-02 16:00:00,27.00,100.00
2025-04-02 17:00:00,28.00,113.00
2025-04-02 18:00:00,28.00,141.00
2025-04-02 19:00:00,55.00,199.00
2025-04-02 20:00:00,174.00,506.00
2025-04-02 21:00:00,272.00,604.00
2025-04-02 22:00:00,134.00,367.00
2025-04-02 23:00:00,130.00,318.00
2025-04-03 00:00:00,133.00,269.00
2025-04-03 01:00:00,112.00,238.00
2025-04-03 02:00:00,83.00,189.00
2025-04-03 03:00:00,88.00,180.00
2025-04-03 04:00:00,96.00,164.00
2025-04-03 05:00:00,108.00,156.00
2025-04-03 06:00:00,81.00,162.00
2025-04-03 07:00:00,130.00,318.00
2025-04-03 08:00:00,144.00,379.00
2025-04-03 09:00:00,128.00,312.00
2025-04-03 10:00:00,114.00,257.00
2025-04-03 11:00:00,56.00,173.00
2025-04-03 12:00:00,34.00,116.00
2025-04-03 13:00:00,39.00,140.00
2025-04-03 14:00:00,33.00,97.00
2025-04-03 15:00:00,24.00,66.00
2025-04-03 16:00:00,18.00,62.00
2025-04-03 17:00:00,25.00,77.00
2025-04-03 18:00:00,30.00,119.00
2025-04-03 19:00:00,70.00,249.00
2025-04-03 20:00:00,112.00,390.00
2025-04-03 21:00:00,125.00,385.00
