Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,45.00,112.00
2025-04-01 01:00:00,61.00,119.00
2025-04-01 02:00:00,81.00,127.00
2025-04-01 03:00:00,73.00,123.00
2025-04-01 04:00:00,96.00,152.00
2025-04-01 05:00:00,116.00,206.00
2025-04-01 06:00:00,227.00,305.00
2025-04-01 07:00:00,163.00,266.00
2025-04-01 08:00:00,145.00,320.00
2025-04-01 09:00:00,138.00,370.00
2025-04-01 10:00:00,114.00,240.00
2025-04-01 11:00:00,111.00,221.00
2025-04-01 12:00:00,53.00,180.00
2025-04-01 13:00:00,27.00,161.00
2025-04-01 14:00:00,28.00,119.00
2025-04-01 15:00:00,28.00,129.00
2025-04-01 16:00:00,24.00,106.00
2025-04-01 17:00:00,24.00,103.00
2025-04-01 18:00:00,28.00,119.00
2025-04-01 19:00:00,39.00,195.00
2025-04-01 20:00:00,57.00,269.00
2025-04-01 21:00:00,102.00,421.00
2025-04-01 22:00:00,110.00,400.00
2025-04-01 23:00:00,123.00,332.00
2025-04-02 00:00:00,91.00,208.00
2025-04-02 01:00:00,133.00,265.00
2025-04-02 02:00:00,135.00,287.00
2025-04-02 03:00:00,173.00,306.00
2025-04-02 04:00:00,216.00,399.00
2025-04-02 05:00:00,293.00,440.00
2025-04-02 06:00:00,276.00,411.00
2025-04-02 07:00:00,241.00,469.00
2025-04-02 08:00:00,158.00,339.00
2025-04-02 09:00:00,210.00,403.00
2025-04-02 10:00:00,182.00,376.00
2025-04-02 11:00:00,146.00,318.00
2025-04-02 12:00:00,106.00,241.00
2025-04-02 13:00:00,50.00,145.00
2025-04-02 14:00:00,34.00,121.00
2025-04-02 15:00:00,28.00,102.00
2025-04-02 16:00:00,27.00,95.00
2025-04-02 17:00:00,19.00,86.00
2025-04-02 18:00:00,30.00,96.00
2025-04-02 19:00:00,42.00,163.00
2025-04-02 20:00:00,90.00,394.00
2025-04-02 21:00:00,146.00,592.00
2025-04-02 22:00:00,163.00,616.00
2025-04-02 23:00:00,174.00,617.00
2025-04-03 00:00:00,161.00,499.00
2025-04-03 01:00:00,124.00,313.00
2025-04-03 02:00:00,105.00,248.00
2025-04-03 03:00:00,89.00,205.00
2025-04-03 04:00:00,86.00,195.00
2025-04-03 05:00:00,95.00,207.00
2025-04-03 06:00:00,86.00,222.00
2025-04-03 07:00:00,122.00,436.00
2025-04-03 08:00:00,136.00,521.00
