Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-04-01 00:00:00,69.00,156.00
2025-04-01 01:00:00,56.00,122.00
2025-04-01 02:00:00,52.00,125.00
2025-04-01 03:00:00,64.00,134.00
2025-04-01 04:00:00,75.00,144.00
2025-04-01 05:00:00,102.00,172.00
2025-04-01 06:00:00,136.00,223.00
2025-04-01 07:00:00,152.00,278.00
2025-04-01 08:00:00,155.00,324.00
2025-04-01 09:00:00,123.00,317.00
2025-04-01 10:00:00,157.00,377.00
2025-04-01 11:00:00,110.00,327.00
2025-04-01 12:00:00,56.00,194.00
2025-04-01 13:00:00,67.00,160.00
2025-04-01 14:00:00,39.00,164.00
2025-04-01 15:00:00,38.00,146.00
2025-04-01 16:00:00,34.00,173.00
2025-04-01 17:00:00,25.00,145.00
2025-04-01 18:00:00,28.00,144.00
2025-04-01 19:00:00,40.00,182.00
2025-04-01 20:00:00,55.00,262.00
2025-04-01 21:00:00,77.00,295.00
2025-04-01 22:00:00,81.00,289.00
2025-04-01 23:00:00,79.00,251.00
2025-04-02 00:00:00,86.00,219.00
2025-04-02 01:00:00,91.00,213.00
2025-04-02 02:00:00,102.00,245.00
2025-04-02 03:00:00,90.00,215.00
2025-04-02 04:00:00,108.00,248.00
2025-04-02 05:00:00,156.00,376.00
2025-04-02 06:00:00,261.00,484.00
2025-04-02 07:00:00,316.00,522.00
2025-04-02 08:00:00,382.00,686.00
2025-04-02 09:00:00,372.00,628.00
2025-04-02 10:00:00,178.00,421.00
2025-04-02 11:00:00,88.00,265.00
2025-04-02 12:00:00,78.00,224.00
2025-04-02 13:00:00,67.00,190.00
2025-04-02 14:00:00,48.00,161.00
2025-04-02 15:00:00,35.00,144.00
2025-04-02 16:00:00,27.00,149.00
2025-04-02 17:00:00,24.00,136.00
2025-04-02 18:00:00,34.00,138.00
2025-04-02 19:00:00,64.00,211.00
2025-04-02 20:00:00,88.00,302.00
2025-04-02 21:00:00,105.00,401.00
2025-04-02 22:00:00,138.00,649.00
2025-04-02 23:00:00,135.00,509.00
2025-04-03 00:00:00,141.00,500.00
2025-04-03 01:00:00,114.00,300.00
2025-04-03 02:00:00,129.00,276.00
2025-04-03 03:00:00,125.00,315.00
2025-04-03 04:00:00,119.00,288.00
2025-04-03 05:00:00,107.00,255.00
2025-04-03 06:00:00,125.00,365.00
2025-04-03 07:00:00,128.00,359.00
2025-04-03 08:00:00,151.00,475.00
2025-04-03 09:00:00,125.00,439.00
2025-04-03 10:00:00,113.00,442.00
2025-04-03 11:00:00,88.00,306.00
2025-04-03 12:00:00,67.00,254.00
2025-04-03 13:00:00,50.00,222.00
2025-04-03 14:00:00,45.00,178.00
2025-04-03 15:00:00,40.00,127.00
2025-04-03 16:00:00,23.00,118.00
2025-04-03 17:00:00,17.00,74.00
2025-04-03 18:00:00,27.00,136.00
2025-04-03 19:00:00,55.00,329.00
2025-04-03 20:00:00,189.00,896.00
2025-04-03 21:00:00,277.00,NA
2025-04-03 22:00:00,58.00,353.00
2025-04-03 23:00:00,59.00,312.00
2025-04-04 00:00:00,92.00,465.00
2025-04-04 01:00:00,122.00,417.00
2025-04-04 02:00:00,130.00,467.00
2025-04-04 03:00:00,145.00,390.00
2025-04-04 04:00:00,164.00,392.00
2025-04-04 05:00:00,183.00,401.00
2025-04-04 06:00:00,201.00,476.00
2025-04-04 07:00:00,161.00,437.00
2025-04-04 08:00:00,144.00,400.00
2025-04-04 09:00:00,145.00,427.00
2025-04-04 10:00:00,103.00,367.00
2025-04-04 11:00:00,92.00,324.00
2025-04-04 12:00:00,100.00,262.00
2025-04-04 13:00:00,52.00,186.00
2025-04-04 14:00:00,45.00,189.00
2025-04-04 15:00:00,44.00,257.00
2025-04-04 16:00:00,30.00,188.00
2025-04-04 17:00:00,31.00,219.00
2025-04-04 18:00:00,29.00,184.00
2025-04-04 19:00:00,44.00,218.00
2025-04-04 20:00:00,69.00,294.00
2025-04-04 21:00:00,80.00,289.00
2025-04-04 22:00:00,68.00,241.00
2025-04-04 23:00:00,59.00,193.00
2025-04-05 00:00:00,47.00,169.00
2025-04-05 01:00:00,38.00,138.00
2025-04-05 02:00:00,48.00,141.00
2025-04-05 03:00:00,45.00,132.00
2025-04-05 04:00:00,53.00,130.00
2025-04-05 05:00:00,91.00,164.00
2025-04-05 06:00:00,89.00,190.00
2025-04-05 07:00:00,105.00,246.00
2025-04-05 08:00:00,196.00,367.00
2025-04-05 09:00:00,171.00,378.00
2025-04-05 10:00:00,152.00,334.00
2025-04-05 11:00:00,121.00,278.00
2025-04-05 12:00:00,73.00,260.00
2025-04-05 13:00:00,50.00,207.00
2025-04-05 14:00:00,44.00,204.00
2025-04-05 15:00:00,41.00,206.00
2025-04-05 16:00:00,39.00,166.00
2025-04-05 17:00:00,NA,NA
2025-04-05 18:00:00,50.00,145.00
2025-04-05 19:00:00,36.00,188.00
2025-04-05 20:00:00,52.00,254.00
2025-04-05 21:00:00,79.00,344.00
2025-04-05 22:00:00,123.00,340.00
2025-04-05 23:00:00,107.00,278.00
2025-04-06 00:00:00,106.00,243.00
2025-04-06 01:00:00,100.00,212.00
2025-04-06 02:00:00,99.00,205.00
2025-04-06 03:00:00,119.00,234.00
2025-04-06 04:00:00,212.00,339.00
2025-04-06 05:00:00,232.00,394.00
2025-04-06 06:00:00,288.00,456.00
2025-04-06 07:00:00,291.00,497.00
2025-04-06 08:00:00,223.00,NA
2025-04-06 09:00:00,186.00,NA
2025-04-06 10:00:00,161.00,NA
2025-04-06 11:00:00,112.00,NA
2025-04-06 12:00:00,95.00,NA
2025-04-06 13:00:00,86.00,NA
2025-04-06 14:00:00,48.00,NA
2025-04-06 15:00:00,45.00,NA
2025-04-06 16:00:00,35.00,NA
2025-04-06 17:00:00,31.00,NA
2025-04-06 18:00:00,30.00,NA
2025-04-06 19:00:00,45.00,NA
2025-04-06 20:00:00,100.00,NA
2025-04-06 21:00:00,118.00,NA
2025-04-06 22:00:00,163.00,NA
2025-04-06 23:00:00,226.00,NA
2025-04-07 00:00:00,197.00,NA
2025-04-07 01:00:00,178.00,NA
2025-04-07 02:00:00,207.00,NA
2025-04-07 03:00:00,197.00,NA
2025-04-07 04:00:00,218.00,NA
2025-04-07 05:00:00,211.00,NA
2025-04-07 06:00:00,177.00,NA
2025-04-07 07:00:00,172.00,NA
2025-04-07 08:00:00,243.00,NA
2025-04-07 09:00:00,156.00,NA
2025-04-07 10:00:00,153.00,NA
2025-04-07 11:00:00,106.00,NA
2025-04-07 12:00:00,97.00,NA
2025-04-07 13:00:00,78.00,296.00
2025-04-07 14:00:00,56.00,204.00
2025-04-07 15:00:00,59.00,226.00
2025-04-07 16:00:00,57.00,222.00
2025-04-07 17:00:00,56.00,201.00
2025-04-07 18:00:00,44.00,208.00
2025-04-07 19:00:00,59.00,251.00
2025-04-07 20:00:00,89.00,396.00
2025-04-07 21:00:00,123.00,460.00
2025-04-07 22:00:00,185.00,510.00
2025-04-07 23:00:00,172.00,473.00
2025-04-08 00:00:00,151.00,405.00
2025-04-08 01:00:00,122.00,360.00
2025-04-08 02:00:00,116.00,343.00
2025-04-08 03:00:00,122.00,294.00
2025-04-08 04:00:00,99.00,312.00
2025-04-08 05:00:00,99.00,251.00
2025-04-08 06:00:00,99.00,259.00
2025-04-08 07:00:00,91.00,317.00
2025-04-08 08:00:00,111.00,356.00
2025-04-08 09:00:00,110.00,642.00
2025-04-08 10:00:00,114.00,NA
2025-04-08 11:00:00,110.00,631.00
2025-04-08 12:00:00,100.00,395.00
2025-04-08 13:00:00,96.00,423.00
2025-04-08 14:00:00,95.00,364.00
2025-04-08 15:00:00,81.00,344.00
2025-04-08 16:00:00,78.00,365.00
2025-04-08 17:00:00,72.00,285.00
2025-04-08 18:00:00,92.00,354.00
2025-04-08 19:00:00,97.00,387.00
2025-04-08 20:00:00,129.00,517.00
2025-04-08 21:00:00,164.00,583.00
2025-04-08 22:00:00,146.00,522.00
2025-04-08 23:00:00,127.00,462.00
2025-04-09 00:00:00,128.00,462.00
2025-04-09 01:00:00,NA,343.00
