season,hour,PM 2.5
Monsoon,0,81.34901638304028
Monsoon,1,77.13704500235427
Monsoon,2,72.1977483480091
Monsoon,3,68.75717357925548
Monsoon,4,66.742579445448
Monsoon,5,66.27725922774057
Monsoon,6,68.7523409476594
Monsoon,7,73.34333880167573
Monsoon,8,76.18812718141821
Monsoon,9,76.082107943295
Monsoon,10,75.46354851979709
Monsoon,11,74.36081250559644
Monsoon,12,72.463018466084
Monsoon,13,70.50196907800411
Monsoon,14,67.87310407059726
Monsoon,15,66.77144405821127
Monsoon,16,66.66384450978252
Monsoon,17,66.74005362435706
Monsoon,18,69.69563537414975
Monsoon,19,75.58604218601627
Monsoon,20,82.90099889156946
Monsoon,21,86.75940285990444
Monsoon,22,86.28756188985264
Monsoon,23,83.73324682522812
Post-monsoon,0,263.63933198933375
Post-monsoon,1,258.3319769156353
Post-monsoon,2,251.8490151345154
Post-monsoon,3,247.05275171946343
Post-monsoon,4,242.40111819419573
Post-monsoon,5,237.93183253174024
Post-monsoon,6,236.38431493086253
Post-monsoon,7,238.65362182862822
Post-monsoon,8,247.44609887912608
Post-monsoon,9,255.6978211688366
Post-monsoon,10,248.92863932280056
Post-monsoon,11,227.68113749000798
Post-monsoon,12,201.95739024205696
Post-monsoon,13,176.74017955612064
Post-monsoon,14,158.67248123572656
Post-monsoon,15,148.93326586114702
Post-monsoon,16,147.88559045006852
Post-monsoon,17,159.3782396163113
Post-monsoon,18,186.88052141885467
Post-monsoon,19,221.8501082424079
Post-monsoon,20,245.3127852365427
Post-monsoon,21,259.7508790564595
Post-monsoon,22,268.504304657618
Post-monsoon,23,268.6687493311807
Pre-monsoon,0,160.41536358795307
Pre-monsoon,1,154.47019650062882
Pre-monsoon,2,148.86547202028538
Pre-monsoon,3,147.89619242643244
Pre-monsoon,4,150.26910656602334
Pre-monsoon,5,154.66154869457898
Pre-monsoon,6,163.44046193561502
Pre-monsoon,7,179.19478623643874
Pre-monsoon,8,189.55469041313725
Pre-monsoon,9,179.73945487244794
Pre-monsoon,10,156.92227233346938
Pre-monsoon,11,137.04502442625505
Pre-monsoon,12,122.59014550644248
Pre-monsoon,13,111.89816953844
Pre-monsoon,14,102.58153333077676
Pre-monsoon,15,98.50953813030576
Pre-monsoon,16,96.9687477133721
Pre-monsoon,17,97.88434039463274
Pre-monsoon,18,104.8693862309586
Pre-monsoon,19,124.25258777134673
Pre-monsoon,20,147.70399750442277
Pre-monsoon,21,160.9536689981596
Pre-monsoon,22,165.8977148616672
Pre-monsoon,23,165.03205944133262
Winter,0,263.87496575541957
Winter,1,247.7166421224589
Winter,2,234.4901928536452
Winter,3,222.49389594103354
Winter,4,213.42506039262
Winter,5,206.5427446153064
Winter,6,204.08483171449757
Winter,7,207.03948115830258
Winter,8,218.59264807353665
Winter,9,229.28544838762392
Winter,10,229.9650950669194
Winter,11,221.94665092275474
Winter,12,208.51049429690775
Winter,13,193.07232489889176
Winter,14,177.86676609380424
Winter,15,167.34564264749702
Winter,16,163.70568687762068
Winter,17,170.50441670605426
Winter,18,195.40362904943112
Winter,19,233.25421082625726
Winter,20,263.8351680302649
Winter,21,279.2557117327705
Winter,22,282.13636049244315
Winter,23,274.40706730317225
