Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,196.0,326.5,3.58,18.45,22.05,29.12,3.5,0.88,2.92,1.0,3.0,,,,,11.95,79.23,0.28,157.6,0.0,0.0,5.3,983.65,
2024-01-01 01:00:00,195.25,324.5,4.9,19.52,24.48,38.25,3.68,0.82,1.9,1.0,2.75,,,,,11.9,78.62,0.28,279.27,0.0,0.0,5.28,982.65,
2024-01-01 02:00:00,183.25,302.5,4.55,18.25,22.72,42.88,3.75,0.8,1.72,1.02,2.75,,,,,11.9,78.35,0.28,295.05,0.0,0.0,5.22,981.85,
2024-01-01 03:00:00,177.0,290.5,3.92,17.25,21.2,41.47,3.95,0.8,1.58,1.0,2.65,,,,,11.9,78.4,0.32,302.08,0.0,0.0,5.22,981.55,
2024-01-01 04:00:00,167.0,279.5,2.95,15.58,18.55,39.47,3.85,0.8,1.55,1.02,2.5,,,,,11.82,78.18,0.35,285.1,0.0,0.0,5.25,981.5,
2024-01-01 05:00:00,173.0,287.0,3.35,14.15,17.48,31.78,3.38,0.8,2.75,1.02,2.33,,,,,11.75,78.65,0.32,264.68,0.0,0.0,5.25,983.05,
2024-01-01 06:00:00,172.0,288.5,2.72,11.85,14.55,27.05,3.4,0.8,2.35,0.92,2.15,,,,,11.65,79.28,0.3,248.1,0.0,0.0,5.28,983.55,
2024-01-01 07:00:00,172.0,296.0,7.43,13.62,20.95,28.02,3.48,0.75,2.02,0.85,1.98,,,,,11.6,78.92,0.4,323.55,0.0,0.0,7.65,983.65,
2024-01-01 08:00:00,177.0,299.75,3.78,13.78,17.58,28.92,3.32,0.85,2.17,0.88,2.02,,,,,11.5,78.4,0.32,328.5,0.0,0.0,18.18,983.6,
2024-01-01 09:00:00,161.5,277.25,5.08,13.75,18.77,35.62,3.62,0.82,1.92,0.95,1.92,,,,,11.6,76.7,0.35,328.35,0.0,0.0,41.58,982.72,
2024-01-01 10:00:00,151.0,256.5,7.42,14.88,22.25,40.17,3.82,0.85,1.75,0.95,1.9,,,,,12.15,72.82,0.3,253.05,0.0,0.0,76.38,981.88,
2024-01-01 11:00:00,164.0,261.5,7.52,17.75,25.32,40.12,3.88,0.95,2.15,1.08,2.1,,,,,12.68,69.75,0.38,261.08,0.0,0.0,122.72,981.6,
