station,file,pm25_pct,windspd_pct,winddir_pct
station_113_shadipur_delhi_cpcb_1hr,2021.csv,99.71,99.82,99.82
station_113_shadipur_delhi_cpcb_1hr,2022.csv,99.12,99.59,99.59
station_113_shadipur_delhi_cpcb_1hr,2023.csv,98.7,99.69,99.43
station_113_shadipur_delhi_cpcb_1hr,2024.csv,99.21,99.78,99.78
station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2021.csv,97.89,97.68,97.68
station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2022.csv,95.09,95.75,95.55
station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2023.csv,94.29,95.17,95.11
station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2024.csv,98.2,98.85,98.84
station_115_nsit_dwarka_delhi_cpcb_1hr,2021.csv,98.7,99.75,99.73
station_115_nsit_dwarka_delhi_cpcb_1hr,2022.csv,98.72,99.63,99.61
station_115_nsit_dwarka_delhi_cpcb_1hr,2023.csv,98.69,99.94,99.93
station_115_nsit_dwarka_delhi_cpcb_1hr,2024.csv,99.12,99.98,99.97
station_122_mandir_marg_delhi_dpcc_1hr,2021.csv,98.09,98.73,98.73
station_122_mandir_marg_delhi_dpcc_1hr,2022.csv,98.05,98.17,98.17
station_122_mandir_marg_delhi_dpcc_1hr,2023.csv,96.67,91.26,91.21
station_122_mandir_marg_delhi_dpcc_1hr,2024.csv,91.64,91.92,91.92
station_124_r_k_puram_delhi_dpcc_1hr,2021.csv,96.67,98.52,98.52
station_124_r_k_puram_delhi_dpcc_1hr,2022.csv,99.01,99.37,99.37
station_124_r_k_puram_delhi_dpcc_1hr,2023.csv,96.77,97.13,97.13
station_124_r_k_puram_delhi_dpcc_1hr,2024.csv,97.54,98.78,98.78
station_125_punjabi_bagh_delhi_dpcc_1hr,2021.csv,97.15,98.71,98.71
station_125_punjabi_bagh_delhi_dpcc_1hr,2022.csv,98.3,99.37,99.37
station_125_punjabi_bagh_delhi_dpcc_1hr,2023.csv,96.66,97.76,97.76
station_125_punjabi_bagh_delhi_dpcc_1hr,2024.csv,98.78,99.57,99.57
station_1420_ashok_vihar_delhi_dpcc_1hr,2021.csv,98.74,96.27,96.27
station_1420_ashok_vihar_delhi_dpcc_1hr,2022.csv,97.19,98.4,98.4
station_1420_ashok_vihar_delhi_dpcc_1hr,2023.csv,91.58,96.18,96.18
station_1420_ashok_vihar_delhi_dpcc_1hr,2024.csv,99.18,99.56,99.56
station_1421_dr__karni_singh_shooting_range_delhi_dpc,2021.csv,99.1,99.36,99.36
station_1421_dr__karni_singh_shooting_range_delhi_dpc,2022.csv,99.35,99.36,99.36
station_1421_dr__karni_singh_shooting_range_delhi_dpc,2023.csv,97.26,97.74,97.74
station_1421_dr__karni_singh_shooting_range_delhi_dpc,2024.csv,99.41,99.81,99.81
station_1422_dwarka_sector_8_delhi_dpcc__1hr,2021.csv,99.08,98.9,98.9
station_1422_dwarka_sector_8_delhi_dpcc__1hr,2022.csv,98.8,98.74,98.74
station_1422_dwarka_sector_8_delhi_dpcc__1hr,2023.csv,97.48,97.93,97.93
station_1422_dwarka_sector_8_delhi_dpcc__1hr,2024.csv,99.99,100.0,100.0
station_1423_jahangirpuri_delhi_dpcc_1hr,2021.csv,97.96,96.29,96.3
station_1423_jahangirpuri_delhi_dpcc_1hr,2022.csv,98.22,98.34,98.34
station_1423_jahangirpuri_delhi_dpcc_1hr,2023.csv,95.86,97.34,97.34
station_1423_jahangirpuri_delhi_dpcc_1hr,2024.csv,97.12,96.44,96.16
station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2021.csv,97.96,98.01,98.01
station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2022.csv,95.79,95.89,95.89
station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2023.csv,96.07,97.28,97.28
station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,2024.csv,99.01,99.23,66.01
station_1425_major_dhyan_chand_national_stadium_delhi,2021.csv,99.26,99.41,99.41
station_1425_major_dhyan_chand_national_stadium_delhi,2022.csv,98.93,99.14,99.14
station_1425_major_dhyan_chand_national_stadium_delhi,2023.csv,97.41,97.77,97.77
station_1425_major_dhyan_chand_national_stadium_delhi,2024.csv,97.56,98.1,98.1
station_1426_narela_delhi_dpcc_1hr,2021.csv,97.72,97.4,97.4
station_1426_narela_delhi_dpcc_1hr,2022.csv,98.26,98.8,98.8
station_1426_narela_delhi_dpcc_1hr,2023.csv,97.93,98.05,98.05
station_1426_narela_delhi_dpcc_1hr,2024.csv,99.25,99.35,83.99
station_1427_najafgarh_delhi_dpcc_1hr,2021.csv,96.68,96.06,96.06
station_1427_najafgarh_delhi_dpcc_1hr,2022.csv,95.62,94.67,94.67
station_1427_najafgarh_delhi_dpcc_1hr,2023.csv,96.48,95.62,95.62
station_1427_najafgarh_delhi_dpcc_1hr,2024.csv,96.86,95.72,95.77
station_1428_okhla_phase_2_delhi_dpcc_1hr,2021.csv,98.41,99.08,99.08
station_1428_okhla_phase_2_delhi_dpcc_1hr,2022.csv,99.57,99.71,99.71
station_1428_okhla_phase_2_delhi_dpcc_1hr,2023.csv,97.47,97.69,97.69
station_1428_okhla_phase_2_delhi_dpcc_1hr,2024.csv,99.4,99.7,99.23
station_1429_nehru_nagar_delhi_dpcc_1hr,2021.csv,98.7,98.56,98.56
station_1429_nehru_nagar_delhi_dpcc_1hr,2022.csv,99.42,99.36,99.36
station_1429_nehru_nagar_delhi_dpcc_1hr,2023.csv,97.04,96.8,96.8
station_1429_nehru_nagar_delhi_dpcc_1hr,2024.csv,99.39,99.81,97.67
station_1430_rohini_delhi_dpcc_1hr,2021.csv,98.95,98.62,98.62
station_1430_rohini_delhi_dpcc_1hr,2022.csv,99.71,99.26,99.26
station_1430_rohini_delhi_dpcc_1hr,2023.csv,97.98,93.65,93.65
station_1430_rohini_delhi_dpcc_1hr,2024.csv,99.42,99.37,99.39
station_1431_patparganj_delhi_dpcc_1hr,2021.csv,97.56,98.53,98.53
station_1431_patparganj_delhi_dpcc_1hr,2022.csv,98.87,98.86,98.86
station_1431_patparganj_delhi_dpcc_1hr,2023.csv,97.75,97.66,97.66
station_1431_patparganj_delhi_dpcc_1hr,2024.csv,98.77,98.92,98.25
station_1432_sonia_vihar_delhi_dpcc_1hr,2021.csv,97.61,98.01,98.01
station_1432_sonia_vihar_delhi_dpcc_1hr,2022.csv,98.31,98.53,98.53
station_1432_sonia_vihar_delhi_dpcc_1hr,2023.csv,96.8,96.22,96.22
station_1432_sonia_vihar_delhi_dpcc_1hr,2024.csv,98.08,98.46,98.46
station_1434_wazirpur_delhi_dpcc_1hr,2021.csv,94.18,96.15,96.15
station_1434_wazirpur_delhi_dpcc_1hr,2022.csv,98.04,98.41,98.41
station_1434_wazirpur_delhi_dpcc_1hr,2023.csv,97.1,96.71,96.71
station_1434_wazirpur_delhi_dpcc_1hr,2024.csv,98.94,98.75,71.62
