station_folder,site_id,year,pm25_avail_pct,windspd_avail_pct,winddir_avail_pct
station_103_crri_mathura_road_delhi_imd_1hr,103,2021,96.8,0.0,0.0
station_104_burari_crossing_delhi_imd_1hr,104,2021,18.15,0.0,0.0
station_105_north_campus_du_delhi_imd_1hr,105,2021,93.15,0.0,0.0
station_106_igi_airport__t3__delhi_imd_1hr,106,2021,64.08,0.0,0.0
station_107_pusa_delhi_imd_1hr,107,2021,72.31,0.0,0.0
station_108_aya_nagar_delhi_imd_1hr,108,2021,96.26,0.0,0.0
station_109_lodhi_road_delhi_imd_1hr,109,2021,94.5,0.0,0.0
station_113_shadipur_delhi_cpcb_1hr,113,2021,97.88,99.69,99.69
station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,114,2021,93.5,94.17,94.33
station_115_nsit_dwarka_delhi_cpcb_1hr,115,2021,96.6,99.54,99.51
station_117_ito_delhi_cpcb_1hr,117,2021,85.61,0.0,0.0
station_118_dtu_delhi_cpcb_1hr,118,2021,94.89,99.5,99.5
station_119_sirifort_delhi_cpcb_1hr,119,2021,93.3,94.68,94.66
station_122_mandir_marg_delhi_dpcc_1hr,122,2021,96.54,98.29,98.29
station_124_r_k_puram_delhi_dpcc_1hr,124,2021,94.69,98.03,98.03
station_125_punjabi_bagh_delhi_dpcc_1hr,125,2021,95.4,98.24,98.22
station_1420_ashok_vihar_delhi_dpcc_1hr,1420,2021,97.51,95.05,97.6
station_1421_dr__karni_singh_shooting_range_delhi_dpc,1421,2021,98.66,99.09,99.09
station_1422_dwarka_sector_8_delhi_dpcc__1hr,1422,2021,98.45,98.45,98.45
station_1423_jahangirpuri_delhi_dpcc_1hr,1423,2021,96.91,94.2,94.22
station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,1424,2021,96.67,97.12,97.12
station_1425_major_dhyan_chand_national_stadium_delhi,1425,2021,98.72,99.26,99.26
station_1426_narela_delhi_dpcc_1hr,1426,2021,96.89,96.78,96.78
station_1427_najafgarh_delhi_dpcc_1hr,1427,2021,94.68,95.19,95.45
station_1428_okhla_phase_2_delhi_dpcc_1hr,1428,2021,97.41,98.24,98.24
station_1429_nehru_nagar_delhi_dpcc_1hr,1429,2021,97.81,97.75,97.76
station_1430_rohini_delhi_dpcc_1hr,1430,2021,98.36,98.17,98.17
station_1431_patparganj_delhi_dpcc_1hr,1431,2021,96.39,97.48,97.48
station_1432_sonia_vihar_delhi_dpcc_1hr,1432,2021,96.38,97.4,97.4
station_1434_wazirpur_delhi_dpcc_1hr,1434,2021,91.22,94.91,95.76
station_1435_vivek_vihar_delhi_dpcc_1hr,1435,2021,91.75,95.86,95.86
station_1560_bawana_delhi_dpcc_1hr,1560,2021,96.58,97.92,97.92
station_1561_mundka_delhi_dpcc_1hr,1561,2021,96.52,97.39,97.39
station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,1562,2021,97.44,98.26,98.26
station_1563_pusa_delhi_dpcc_1hr,1563,2021,96.75,97.37,97.37
station_301_anand_vihar_delhi_dpcc_1hr,301,2021,92.27,94.06,94.02
station_5393_chandni_chowk_delhi_iitm_1hr,5393,2021,88.39,90.11,90.11
station_5395_lodhi_road_delhi_iitm_1hr,5395,2021,77.51,83.31,83.29
station_103_crri_mathura_road_delhi_imd_1hr,103,2022,97.37,0.0,0.0
station_104_burari_crossing_delhi_imd_1hr,104,2022,62.61,0.0,0.0
