station_folder,site_id,raw_label,clean_label
station_103_crri_mathura_road_delhi_imd_1hr,103,CRRI_Mathura_Road_Delhi_IMD_1Hr,crri_mathura_road_delhi_imd_1hr
station_104_burari_crossing_delhi_imd_1hr,104,Burari_Crossing_Delhi_IMD_1Hr,burari_crossing_delhi_imd_1hr
station_105_north_campus_du_delhi_imd_1hr,105,North_Campus_DU_Delhi_IMD_1Hr,north_campus_du_delhi_imd_1hr
station_106_igi_airport__t3__delhi_imd_1hr,106,IGI_Airport_(T3)_Delhi_IMD_1Hr,igi_airport__t3__delhi_imd_1hr
station_107_pusa_delhi_imd_1hr,107,Pusa_Delhi_IMD_1Hr,pusa_delhi_imd_1hr
station_108_aya_nagar_delhi_imd_1hr,108,Aya_Nagar_Delhi_IMD_1Hr,aya_nagar_delhi_imd_1hr
station_109_lodhi_road_delhi_imd_1hr,109,Lodhi_Road_Delhi_IMD_1Hr,lodhi_road_delhi_imd_1hr
station_113_shadipur_delhi_cpcb_1hr,113,Shadipur_Delhi_CPCB_1Hr,shadipur_delhi_cpcb_1hr
station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,114,IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr,ihbas_dilshad_garden_delhi_cpcb_1hr
station_115_nsit_dwarka_delhi_cpcb_1hr,115,NSIT_Dwarka_Delhi_CPCB_1Hr,nsit_dwarka_delhi_cpcb_1hr
station_117_ito_delhi_cpcb_1hr,117,ITO_Delhi_CPCB_1Hr,ito_delhi_cpcb_1hr
station_118_dtu_delhi_cpcb_1hr,118,DTU_Delhi_CPCB_1Hr,dtu_delhi_cpcb_1hr
station_119_sirifort_delhi_cpcb_1hr,119,Sirifort_Delhi_CPCB_1Hr,sirifort_delhi_cpcb_1hr
station_122_mandir_marg_delhi_dpcc_1hr,122,Mandir_Marg_Delhi_DPCC_1Hr,mandir_marg_delhi_dpcc_1hr
station_124_r_k_puram_delhi_dpcc_1hr,124,R_K_Puram_Delhi_DPCC_1Hr,r_k_puram_delhi_dpcc_1hr
station_125_punjabi_bagh_delhi_dpcc_1hr,125,Punjabi_Bagh_Delhi_DPCC_1Hr,punjabi_bagh_delhi_dpcc_1hr
station_1420_ashok_vihar_delhi_dpcc_1hr,1420,Ashok_Vihar_Delhi_DPCC_1Hr,ashok_vihar_delhi_dpcc_1hr
station_1421_dr__karni_singh_shooting_range_delhi_dpc,1421,Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr,dr__karni_singh_shooting_range_delhi_dpc
station_1422_dwarka_sector_8_delhi_dpcc__1hr,1422,Dwarka-Sector_8_Delhi_DPCC__1Hr,dwarka_sector_8_delhi_dpcc__1hr
station_1423_jahangirpuri_delhi_dpcc_1hr,1423,Jahangirpuri_Delhi_DPCC_1Hr,jahangirpuri_delhi_dpcc_1hr
station_1424_jawaharlal_nehru_stadium_delhi_dpcc_1hr,1424,Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr,jawaharlal_nehru_stadium_delhi_dpcc_1hr
station_1425_major_dhyan_chand_national_stadium_delhi,1425,Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr,major_dhyan_chand_national_stadium_delhi
station_1426_narela_delhi_dpcc_1hr,1426,Narela_Delhi_DPCC_1Hr,narela_delhi_dpcc_1hr
station_1427_najafgarh_delhi_dpcc_1hr,1427,Najafgarh_Delhi_DPCC_1Hr,najafgarh_delhi_dpcc_1hr
station_1428_okhla_phase_2_delhi_dpcc_1hr,1428,Okhla_Phase-2_Delhi_DPCC_1Hr,okhla_phase_2_delhi_dpcc_1hr
station_1429_nehru_nagar_delhi_dpcc_1hr,1429,Nehru_Nagar_Delhi_DPCC_1Hr,nehru_nagar_delhi_dpcc_1hr
station_1430_rohini_delhi_dpcc_1hr,1430,Rohini_Delhi_DPCC_1Hr,rohini_delhi_dpcc_1hr
station_1431_patparganj_delhi_dpcc_1hr,1431,Patparganj_Delhi_DPCC_1Hr,patparganj_delhi_dpcc_1hr
station_1432_sonia_vihar_delhi_dpcc_1hr,1432,Sonia_Vihar_Delhi_DPCC_1Hr,sonia_vihar_delhi_dpcc_1hr
station_1434_wazirpur_delhi_dpcc_1hr,1434,Wazirpur_Delhi_DPCC_1Hr,wazirpur_delhi_dpcc_1hr
station_1435_vivek_vihar_delhi_dpcc_1hr,1435,Vivek_Vihar_Delhi_DPCC_1Hr,vivek_vihar_delhi_dpcc_1hr
station_1560_bawana_delhi_dpcc_1hr,1560,Bawana_Delhi_DPCC_1Hr,bawana_delhi_dpcc_1hr
station_1561_mundka_delhi_dpcc_1hr,1561,Mundka_Delhi_DPCC_1Hr,mundka_delhi_dpcc_1hr
station_1562_sri_aurobindo_marg_delhi_dpcc_1hr,1562,Sri_Aurobindo_Marg_Delhi_DPCC_1Hr,sri_aurobindo_marg_delhi_dpcc_1hr
station_1563_pusa_delhi_dpcc_1hr,1563,Pusa_Delhi_DPCC_1Hr,pusa_delhi_dpcc_1hr
station_301_anand_vihar_delhi_dpcc_1hr,301,Anand_Vihar_Delhi_DPCC_1Hr,anand_vihar_delhi_dpcc_1hr
station_5393_chandni_chowk_delhi_iitm_1hr,5393,Chandni_Chowk_Delhi_IITM_1Hr,chandni_chowk_delhi_iitm_1hr
station_5395_lodhi_road_delhi_iitm_1hr,5395,Lodhi_Road_Delhi_IITM_1Hr,lodhi_road_delhi_iitm_1hr
