season,mean_pm25,median_pm25,std_pm25,station,year
Monsoon,36.58769970559743,27.990000000000002,26.23466633113489,station_113_shadipur_delhi_cpcb_1hr,2021
Post-monsoon,122.40771174863389,97.75999999999999,105.59403633336194,station_113_shadipur_delhi_cpcb_1hr,2021
Pre-monsoon,63.638081974637686,53.56,48.78806854996958,station_113_shadipur_delhi_cpcb_1hr,2021
Winter,111.7146827234831,96.52,68.79379007212216,station_113_shadipur_delhi_cpcb_1hr,2021
Monsoon,128.86237066456627,111.75,72.23609555371029,station_113_shadipur_delhi_cpcb_1hr,2022
Post-monsoon,307.3852526192108,290.1,167.7884195872679,station_113_shadipur_delhi_cpcb_1hr,2022
Pre-monsoon,252.45885218978103,223.435,122.63294278363635,station_113_shadipur_delhi_cpcb_1hr,2022
Winter,290.0879911668991,260.25,147.5192207111061,station_113_shadipur_delhi_cpcb_1hr,2022
Monsoon,51.407670709888286,41.65,36.30321191212878,station_113_shadipur_delhi_cpcb_1hr,2023
Post-monsoon,166.32965854495538,149.375,102.69756018753141,station_113_shadipur_delhi_cpcb_1hr,2023
Pre-monsoon,102.83945181956277,91.325,69.37738432242703,station_113_shadipur_delhi_cpcb_1hr,2023
Winter,184.0777471424158,167.5125,84.67672953307523,station_113_shadipur_delhi_cpcb_1hr,2023
Monsoon,70.05752828561573,45.3,80.1407737615461,station_113_shadipur_delhi_cpcb_1hr,2024
Post-monsoon,182.62353951890034,148.72,127.63131916295934,station_113_shadipur_delhi_cpcb_1hr,2024
Pre-monsoon,125.74710451561033,105.62,85.29338274549418,station_113_shadipur_delhi_cpcb_1hr,2024
Winter,164.42440126932163,151.11,87.84734682188953,station_113_shadipur_delhi_cpcb_1hr,2024
Monsoon,37.00635064935065,29.1,26.49637082880086,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2021
Post-monsoon,151.0190790436286,131.6,104.2049199357917,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2021
Pre-monsoon,62.32330907028411,53.82,41.75214606348964,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2021
Winter,144.37791736825696,128.315,79.54653681404459,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2021
Monsoon,47.72303919757512,41.535,30.191843170258494,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2022
Post-monsoon,113.22194781731366,106.92,59.54010421308087,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2022
Pre-monsoon,88.56848881526969,80.3,47.50489298860253,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2022
Winter,115.43683369695349,107.1,56.39389672111034,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2022
Monsoon,103.3686611928349,95.0,56.61686790501795,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2023
Post-monsoon,224.11451437163902,205.075,98.15971191263714,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2023
Pre-monsoon,161.9550848955369,148.625,85.52501890582401,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2023
Winter,225.67828896582915,213.15,72.97327060808297,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2023
Monsoon,38.83371656825287,29.72,24.048656627706208,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2024
Post-monsoon,133.45388166894665,106.18,96.31057015103201,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2024
Pre-monsoon,63.545169164479944,62.22,19.393967615360822,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2024
Winter,99.45018218312967,93.62,47.26547417695348,station_114_ihbas_dilshad_garden_delhi_cpcb_1hr,2024
Monsoon,46.16661612481785,37.59,37.31266010972192,station_115_nsit_dwarka_delhi_cpcb_1hr,2021
Post-monsoon,162.90751873914337,154.33,93.1230228949859,station_115_nsit_dwarka_delhi_cpcb_1hr,2021
Pre-monsoon,102.10682484923156,88.51,70.30020707936961,station_115_nsit_dwarka_delhi_cpcb_1hr,2021
Winter,123.72501852709588,104.08,72.729374035147,station_115_nsit_dwarka_delhi_cpcb_1hr,2021
Monsoon,58.11615627511769,46.98,38.66065724095881,station_115_nsit_dwarka_delhi_cpcb_1hr,2022
Post-monsoon,166.05383770250367,145.72,110.63173849999183,station_115_nsit_dwarka_delhi_cpcb_1hr,2022
Pre-monsoon,129.36017271365347,119.85,62.9882768724483,station_115_nsit_dwarka_delhi_cpcb_1hr,2022
Winter,152.91163294412087,138.6,81.80139531092534,station_115_nsit_dwarka_delhi_cpcb_1hr,2022
Monsoon,61.20937570838508,53.03333333333333,39.50245462718885,station_115_nsit_dwarka_delhi_cpcb_1hr,2023
Post-monsoon,169.69685998627318,152.5,93.31118080131054,station_115_nsit_dwarka_delhi_cpcb_1hr,2023
Pre-monsoon,106.23133019688582,91.3,65.59891757524575,station_115_nsit_dwarka_delhi_cpcb_1hr,2023
Winter,176.24727966232962,161.19166666666666,84.8264569879674,station_115_nsit_dwarka_delhi_cpcb_1hr,2023
Monsoon,46.91840052349843,40.325,32.92598704588054,station_115_nsit_dwarka_delhi_cpcb_1hr,2024
Post-monsoon,152.29965659340658,130.4,99.68947123280684,station_115_nsit_dwarka_delhi_cpcb_1hr,2024
Pre-monsoon,112.48292074049803,102.685,57.36041352794827,station_115_nsit_dwarka_delhi_cpcb_1hr,2024
